Category,Subcategory,XBRL Tag
Assets,Non-Current,AarpAssetsUnderManagement
Unclassified,Non-Current,AbandonmentFunding
Assets,Non-Current,AblationIntellectualProperty
Unclassified,Current,AboveMarketChartersNet
Liabilities,Non-Current,AboveMarketLeases
Liabilities,Current,AboveMarketLeasesNet
Unclassified,Non-Current,AccountingAndLegalServicesFees
Assets,Current,AccountingReceivableFinancingFacility
Liabilities,Current,AccountPayableAndAccruedLiabilities
Liabilities,Current,AccountPayableOtherCurrent
Liabilities,Current,AccountPayableRelatedPartiesCurrent
Assets,Current,AccountReceivableExcludingReceivableFromBrokersAndDealersAndClearingOrganizationsNetOfAllowance
Assets,Current,AccountReceivablefromUSGovernmentNetNoncurrent
Assets,Current,AccountReceivableNet
Assets,Current,AccountReceivableNetAndContractReceivableRetainage
Assets,Current,AccountReceivableRelatedParties
Assets,Current,AccountsAndAccruedIncomeReceivableNet
Assets,Current,AccountsAndAccruedReceivableCurrent
Liabilities,Current,AccountsAndDraftsPayable
Assets,Current,AccountsAndFinancingReceivableAllowanceForCreditLoss
Assets,Current,AccountsAndFinancingReceivableAllowanceForCreditLossCurrent
Assets,Current,AccountsAndFinancingReceivableAllowanceForCreditLossNoncurrent
Assets,Current,AccountsAndFinancingReceivableBeforeAllowanceForCreditLossCurrent
Liabilities,Current,AccountsAndIncomeTaxesPayable
Liabilities,Current,AccountsAndNotesPayableCurrent
Liabilities,Current,AccountsAndNotesPayableExcludingRelatedPartiesCurrent
Assets,Current,AccountsAndNotesReceivableNet
Assets,Current,AccountsAndNotesReceivableNetAndDeposits
Assets,Current,AccountsAndNotesReceivableNetCurrent
Assets,Current,AccountsAndNotesReceivableNetOfAllowance
Assets,Current,AccountsAndNotesReceivableOther
Assets,Current,AccountsAndOtherReceivables
Assets,Current,AccountsAndOtherReceivablesNet
Assets,Current,AccountsAndOtherReceivablesNetCurrent
Liabilities,Current,AccountsAndPayablesToOfficersAndDirectorsCurrent
Assets,Current,AccountsNotesAndLoansReceivableNetCurrent
Assets,Current,AccountsNotesLoansAndFinancingReceivableAllowanceForCreditLoss
Liabilities,Current,AccountsPayable
Liabilities,Current,AccountsPayableAccruedExpensesAndOperatingLeaseLiabilitiesCurrent
Liabilities,Current,AccountsPayableAccruedExpensesAndOtherCurrentLiabilities
Liabilities,Current,AccountsPayableAccruedExpensesAndOtherLiabilities
Liabilities,Current,AccountsPayableAccruedExpensesAndOtherLiabilitiesCurrentAndNonCurrent
Assets,Current,AccountsPayableAccruedExpensesIntangiblesAndDeferredRevenues
Liabilities,Current,AccountsPayableAccruedLiabilities
Liabilities,Current,AccountsPayableAccruedLiabilitiesAndDerivativeLiabilitiesCurrent
Liabilities,Current,AccountsPayableAccruedLiabilitiesAndOtherCurrentLiabilitiesCurrent
Liabilities,Current,AccountsPayableAccruedLiabilitiesAndOtherLiabilities
Liabilities,Current,AccountsPayableAccruedLiabilitiesAndOtherLiabilitiesCurrent
Liabilities,Current,AccountsPayableAndAccruedExpenses
Liabilities,Current,AccountsPayableAndAccruedExpensesAndOtherLiabilities
Liabilities,Current,AccountsPayableAndAccruedExpensesCurrent
Liabilities,Current,AccountsPayableAndAccruedExpensesExcludingInterestPayableCurrent
Liabilities,Current,AccountsPayableAndAccruedExpensesRelatedParties
Liabilities,Current,AccountsPayableAndAccruedExpensesRelatedPartiesCurrent
Liabilities,Current,AccountsPayableAndAccruedExpensesRelatedParty
Liabilities,Current,AccountsPayableAndAccruedExpensesRelatedPartyCurrent
Liabilities,Current,AccountsPayableAndAccruedExpensesToRelatedPartyCurrent
Liabilities,Current,AccountsPayableAndAccruedExpenseVieWithoutRecourse
Liabilities,Current,AccountsPayableAndAccruedLiabilitie
Liabilities,Current,AccountsPayableAndAccruedLiabilities
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesCurrent
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrentOtherThanInterestAndDividendPayable
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesExcludingAccruedIncomeTaxesCurrent
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesExcludingAccruedIncomeTaxesPayable
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesExcludingEmployeeBenefits
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesExcludingEmployeeRelatedLiabilitiesCurrent
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesFairValueDisclosure
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesNoncurrent
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesRelatedPartiesCurrent
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesRelatedParty
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesRelatedPartyCurrent
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesRelatedToRealEstateHeldForSale
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesToRelatedPartiesCurrent
Liabilities,Current,AccountsPayableAndAccruedTempPayroll
Liabilities,Current,AccountsPayableAndDividendsPayable
Liabilities,Current,AccountsPayableAndDueToAffiliatedEntities
Liabilities,Current,AccountsPayableAndOther
Liabilities,Current,AccountsPayableAndOtherAccruedLiabilities
Liabilities,Current,AccountsPayableAndOtherAccruedLiabilitiesCurrent
Liabilities,Current,AccountsPayableAndOtherAccruedLiabilitiesFairValue
Liabilities,Current,AccountsPayableAndOtherLiabilities
Liabilities,Current,AccountsPayableAndOtherLiabilitiesAtFairValue
Liabilities,Current,AccountsPayableAndOtherLiabilitiesCurrentAndNoncurrent
Liabilities,Current,AccountsPayableAndOtherPayables
Liabilities,Current,AccountsPayableBlendersTaxCreditPayables
Liabilities,Current,AccountsPayableCapitalExpendituresCurrent
Liabilities,Current,AccountsPayableClientAccounts
Liabilities,Current,AccountsPayableConsolidatedVIEsWithoutRecourseCurrent
Liabilities,Current,AccountsPayableCurrent
Liabilities,Current,AccountsPayableCurrentAndNoncurrent
Liabilities,Current,AccountsPayableCurrentDueToAffiliates
Liabilities,Current,AccountsPayableCurrentForRelatedParty
Liabilities,Current,AccountsPayableCurrentRelatedParties
Liabilities,Current,AccountsPayableCurrentRelatedParty
Liabilities,Current,AccountsPayableDueToRelatedPartyCurrent
Liabilities,Current,AccountsPayableExcludingRelatedParties
Liabilities,Current,AccountsPayableExcludingRelatedPartyPayableAndAccruedLiabilitiesCurrent
Liabilities,Current,AccountsPayableFairValueDisclosure
Liabilities,Current,AccountsPayableFloorPlan
Liabilities,Current,AccountsPayableIncludingDerivativesNetCurrent
Liabilities,Current,AccountsPayableInterestBearingNoncurrent
Assets,Current,AccountsPayableInventoryFinancing
Liabilities,Current,AccountsPayableMerchant
Liabilities,Current,AccountsPayableMerchantAndOther
Liabilities,Current,AccountsPayableNonCurrent
Liabilities,Current,AccountsPayableOfRelatedParties
Liabilities,Current,AccountsPayableOther
Liabilities,Current,AccountsPayableOtherCurrent
Liabilities,Current,AccountsPayableOtherCurrentAndNoncurrent
Liabilities,Current,AccountsPayableOthersCurrent
Assets,Current,AccountsPayablePrepaidCurrent
Liabilities,Current,AccountsPayablePrincipallyTrade
Liabilities,Current,AccountsPayableReimbursedbyClientCurrent
Liabilities,Current,AccountsPayableRelatedParties
Liabilities,Current,AccountsPayableRelatedPartiesCurrent
Liabilities,Current,AccountsPayableRelatedPartiesCurrent1
Liabilities,Current,AccountsPayableRelatedPartiesCurrent2
Liabilities,Current,AccountsPayableRelatedPartiesCurrentAmount
Liabilities,Current,AccountsPayableRelatedPartiesCurrentValue
Liabilities,Current,AccountsPayableRelatedParty
Liabilities,Current,AccountsPayableRelatedPartyCurrent
Liabilities,Current,AccountsPayableRelatedPartyCurrentAndNoncurrent
Liabilities,Current,AccountsPayableRelatedPartyNetCurrent
Liabilities,Current,AccountsPayableRelatedPartyNoncurrent
Liabilities,Current,AccountsPayableRelatedPartyPayables
Liabilities,Current,AccountsPayablesAndAccruedLiabilities
Liabilities,Current,AccountsPayablesRelatedPartiesCurrent
Liabilities,Current,AccountsPayableToAffiliatesCurrent
Liabilities,Current,AccountsPayableToHorsepersons
Liabilities,Current,AccountsPayableToRelatedCompany
Liabilities,Current,AccountsPayableToRelatedPartiesCurrent
Liabilities,Current,AccountsPayableToRelatedPartyCurrent
Liabilities,Current,AccountsPayableToThirdPartyPublishersCurrent
Liabilities,Current,AccountsPayableTowardsRelatedParties
Liabilities,Current,AccountsPayableTrade
Liabilities,Current,AccountsPayableTradeandOtherCurrent
Liabilities,Current,AccountsPayableTradeCurrent
Liabilities,Current,AccountsPayableTradeCurrentAndNoncurrent
Liabilities,Current,AccountsPayableUnderPurchaseAgreements
Liabilities,Current,AccountsPayableUnderwritersPromotersAndEmployeesOtherThanSalariesAndWagesCurrent
Assets,Current,Accountsreceivable
Assets,Current,AccountsReceivableAccruedUnbilledRevenues
Assets,Current,AccountsReceivableAffiliates
Assets,Current,AccountsReceivableAfterAllowanceForCreditLossGrowerAndFruitAdvances
Assets,Current,AccountsReceivableAfterAllowanceForCreditLossNoncurrent
Assets,Current,AccountsReceivableAllowance
Assets,Current,AccountsReceivableAllowanceForCreditLossExcludingAccruedInterestNoncurrent
Assets,Current,AccountsReceivableAllowanceForDoubtfulAccounts
Assets,Current,AccountsReceivableAllowancesCurrent
Assets,Current,AccountsReceivableAndAccruedRevenueAfterAllowanceForCreditLossCurrent
Assets,Current,AccountsReceivableAndAccruedRevenues
Assets,Current,AccountsReceivableAndContractAssetCurrent
Assets,Current,AccountsReceivableAndContractAssetsNet
Assets,Current,AccountsReceivableAndContractAssetsNetCurrent
Assets,Current,AccountsReceivableAndContractWithCustomerAssetAfterAllowanceForCreditLossCurrent
Assets,Current,AccountsReceivableAndContractWithCustomerAssetCurrent
Assets,Current,AccountsReceivableAndContractWithCustomerAssetsAllowanceForCreditLossCurrent
Assets,Current,AccountsReceivableAndContractWithCustomerAssetsNetCurrent
Assets,Current,AccountsReceivableAndFinancingReceivableAllowanceForCreditLoss
Assets,Current,AccountsReceivableAndOtherAssets
Assets,Current,Accountsreceivableandotherassetsofconsolidatedinvestmentproducts
Assets,Current,AccountsReceivableAndOtherCurrentAssets
Assets,Current,AccountsReceivableAndPrepaidExpensesCurrent
Assets,Current,AccountsReceivableBeforeAllowanceForCreditLossCurrentDueFromAffiliates
Assets,Current,AccountsReceivableBilledForLongTermContractsOrPrograms
Assets,Current,AccountsReceivableBlendersTaxCredit
Assets,Current,AccountsReceivableCapitalBuild
Assets,Current,AccountsReceivableCrudeOilResales
Assets,Current,AccountsReceivableCustomer
Assets,Current,AccountsReceivableExcludingAccruedInterestAfterAllowanceForCreditLossNoncurrent
Assets,Current,AccountsReceivableExcludingContractReceivableCurrent
Assets,Current,AccountsReceivableExcludingFinancingReceivableAfterAllowanceForCreditLoss
Assets,Current,AccountsReceivableFinancingCurrent
Assets,Current,AccountsReceivableFromRelatedCompanies
Assets,Current,AccountsReceivableFromRelatedParties
Assets,Current,AccountsReceivableFromSecuritization
Assets,Current,AccountsReceivableFromSecuritizationAllowanceForCreditLoss
