tag,category,subcategory
AarpAssetsUnderManagement,Assets,Non-Current
AbandonmentFunding,Unclassified,Non-Current
AblationIntellectualProperty,Assets,Non-Current
AboveMarketChartersNet,Unclassified,Current
AboveMarketLeases,Liabilities,Non-Current
AboveMarketLeasesNet,Liabilities,Current
AccountingAndLegalServicesFees,Unclassified,Non-Current
AccountingReceivableFinancingFacility,Assets,Current
AccountPayableAndAccruedLiabilities,Liabilities,Current
AccountPayableOtherCurrent,Liabilities,Current
AccountPayableRelatedPartiesCurrent,Liabilities,Current
AccountReceivableExcludingReceivableFromBrokersAndDealersAndClearingOrganizationsNetOfAllowance,Assets,Current
AccountReceivablefromUSGovernmentNetNoncurrent,Assets,Current
AccountReceivableNet,Assets,Current
AccountReceivableNetAndContractReceivableRetainage,Assets,Current
AccountReceivableRelatedParties,Assets,Current
AccountsAndAccruedIncomeReceivableNet,Assets,Current
AccountsAndAccruedReceivableCurrent,Assets,Current
AccountsAndDraftsPayable,Liabilities,Current
AccountsAndFinancingReceivableAllowanceForCreditLoss,Assets,Current
AccountsAndFinancingReceivableAllowanceForCreditLossCurrent,Assets,Current
AccountsAndFinancingReceivableAllowanceForCreditLossNoncurrent,Assets,Current
AccountsAndFinancingReceivableBeforeAllowanceForCreditLossCurrent,Assets,Current
AccountsAndIncomeTaxesPayable,Liabilities,Current
AccountsAndNotesPayableCurrent,Liabilities,Current
AccountsAndNotesPayableExcludingRelatedPartiesCurrent,Liabilities,Current
AccountsAndNotesReceivableNet,Assets,Current
AccountsAndNotesReceivableNetAndDeposits,Assets,Current
AccountsAndNotesReceivableNetCurrent,Assets,Current
AccountsAndNotesReceivableNetOfAllowance,Assets,Current
AccountsAndNotesReceivableOther,Assets,Current
AccountsAndOtherReceivables,Assets,Current
AccountsAndOtherReceivablesNet,Assets,Current
AccountsAndOtherReceivablesNetCurrent,Assets,Current
AccountsAndPayablesToOfficersAndDirectorsCurrent,Liabilities,Current
AccountsNotesAndLoansReceivableNetCurrent,Assets,Current
AccountsNotesLoansAndFinancingReceivableAllowanceForCreditLoss,Assets,Current
AccountsPayable,Liabilities,Current
AccountsPayableAccruedExpensesAndOperatingLeaseLiabilitiesCurrent,Liabilities,Current
AccountsPayableAccruedExpensesAndOtherCurrentLiabilities,Liabilities,Current
AccountsPayableAccruedExpensesAndOtherLiabilities,Liabilities,Current
AccountsPayableAccruedExpensesAndOtherLiabilitiesCurrentAndNonCurrent,Liabilities,Current
AccountsPayableAccruedExpensesIntangiblesAndDeferredRevenues,Assets,Current
AccountsPayableAccruedLiabilities,Liabilities,Current
AccountsPayableAccruedLiabilitiesAndDerivativeLiabilitiesCurrent,Liabilities,Current
AccountsPayableAccruedLiabilitiesAndOtherCurrentLiabilitiesCurrent,Liabilities,Current
AccountsPayableAccruedLiabilitiesAndOtherLiabilities,Liabilities,Current
AccountsPayableAccruedLiabilitiesAndOtherLiabilitiesCurrent,Liabilities,Current
AccountsPayableAndAccruedExpenses,Liabilities,Current
AccountsPayableAndAccruedExpensesAndOtherLiabilities,Liabilities,Current
AccountsPayableAndAccruedExpensesCurrent,Liabilities,Current
AccountsPayableAndAccruedExpensesExcludingInterestPayableCurrent,Liabilities,Current
AccountsPayableAndAccruedExpensesRelatedParties,Liabilities,Current
AccountsPayableAndAccruedExpensesRelatedPartiesCurrent,Liabilities,Current
AccountsPayableAndAccruedExpensesRelatedParty,Liabilities,Current
AccountsPayableAndAccruedExpensesRelatedPartyCurrent,Liabilities,Current
AccountsPayableAndAccruedExpensesToRelatedPartyCurrent,Liabilities,Current
AccountsPayableAndAccruedExpenseVieWithoutRecourse,Liabilities,Current
AccountsPayableAndAccruedLiabilitie,Liabilities,Current
AccountsPayableAndAccruedLiabilities,Liabilities,Current
AccountsPayableAndAccruedLiabilitiesCurrent,Liabilities,Current
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,Liabilities,Current
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrentOtherThanInterestAndDividendPayable,Liabilities,Current
AccountsPayableAndAccruedLiabilitiesExcludingAccruedIncomeTaxesCurrent,Liabilities,Current
AccountsPayableAndAccruedLiabilitiesExcludingAccruedIncomeTaxesPayable,Liabilities,Current
AccountsPayableAndAccruedLiabilitiesExcludingEmployeeBenefits,Liabilities,Current
AccountsPayableAndAccruedLiabilitiesExcludingEmployeeRelatedLiabilitiesCurrent,Liabilities,Current
AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,Liabilities,Current
AccountsPayableAndAccruedLiabilitiesNoncurrent,Liabilities,Current
AccountsPayableAndAccruedLiabilitiesRelatedPartiesCurrent,Liabilities,Current
AccountsPayableAndAccruedLiabilitiesRelatedParty,Liabilities,Current
AccountsPayableAndAccruedLiabilitiesRelatedPartyCurrent,Liabilities,Current
AccountsPayableAndAccruedLiabilitiesRelatedToRealEstateHeldForSale,Liabilities,Current
